File: build.txt
Collision Aversion: Linear Probing
Table Size Used: 1000

0.6273525721	859 
0.6381620932	852 
0.6501950585	859 
0.6570302234	1032 
0.6697923644	1082 
0.6798096533	1472 
0.6891798759	1327 
0.6997900630	1098 
0.7097232079	1076 
0.7147962831	939 
0.7283321194	1312 
0.7385524372	1193 
0.7429420505	1350 
0.7587253414	1571 
0.7686395081	2030 
0.7800312012	2307 
0.7830853563	2081 
0.7942811755	1522 
0.8103727715	2529 
0.8176614881	1816 
0.8244023083	2072 
0.8382229673	2319 
0.8467400508	3441 
0.8598452279	2531 
0.8688097307	3927 
0.8787346221	2781 
0.8904719501	3647 
0.8976660682	9974 
0.9066183137	4601 
0.9199632015	3984 
0.9242144177	5412 
0.9407337723	6816 
0.9425070688	5021 
0.9596928983	9411 
0.9699321048	9261 
0.9794319295	14671 
0.9871668312	13353 
0.9940357853	13555 

